,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
4419,"[-16, 16, 14, -18]","[14, -16, 16, -18]",-25,-75,Not-violated
4420,"[-2, -9, -10, -5, 2, -16, 6, 3, 10]","[10, -16, 6, -5, 3, -10, -9, -2, 2]",-3,-9,Not-violated
4421,"[3, -3, 13, -17, 0, -17, 19, 9, 13, 7, -10, 6, 5, 10]","[7, 13, 6, 13, 5, -17, 0, 10, 9, -17, -10, 19, 3, -3]",-1,-3,Not-violated
4422,"[-3, 14, 14, -15, -10, 10, 17, 6, -3, -6, -9]","[-9, -6, 14, 6, -10, 10, 14, -15, 17, -3, -3]",8,24,Violated
4423,"[11, -3, 1, -19, -16]","[-16, 11, -3, -19, 1]",-11,-33,Violated
4424,"[10, 7, 16, 7, -4, -11, 16, -20, -10]","[7, 10, -20, 7, -4, 16, 16, -11, -10]",5,15,Violated
4425,"[18, 14, 18]","[14, 18, 18]",-10,-30,Not-violated
4426,"[-3, 7, -10]","[-3, 7, -10]",-22,-66,Violated
4427,"[14, -10, -9, 5, -20, 16, 18, 16, 18, 4]","[18, 5, -9, 14, -20, 18, -10, 16, 4, 16]",6,18,Violated
4428,"[6, -15, -12, 2, 10, 14, -16]","[-12, -15, -16, 2, 6, 14, 10]",15,45,Violated
4429,"[5, -5, -12, -13, -4, 13, -7, -6, 11, -9, -8]","[-8, -4, 5, 11, -5, -6, -13, -9, 13, -7, -12]",9,27,Not-violated
4430,"[7, -9, -14, -11, 7, 0, 10]","[7, 7, -11, 10, -14, 0, -9]",-27,-81,Not-violated
4431,"[-7, -4, -13, 6, -12, 14, 10, -5, 11, 18, -2, 7]","[-7, 14, 6, 7, 11, -13, 10, -5, -2, -12, -4, 18]",-16,-48,Violated
4432,"[3, 18, 15, 2, 10, -15, -13, -18, -8, 1]","[10, -15, 1, 18, 3, 2, -18, -8, 15, -13]",-58,-174,Violated
4433,"[-3, 15, -7, -2, 3, -3, 17]","[3, -3, -3, -2, -7, 15, 17]",-40,-120,Not-violated
4434,"[7, 17, -17, -12, 15, 0, -18, -3, 12, -4, -3, 6, -18, 19]","[19, -3, 15, -18, -18, 12, -17, 17, -12, 7, -4, 6, 0, -3]",-3,-9,Not-violated
4435,"[-5, 19, -12, -16, 3]","[19, 3, -16, -12, -5]",-7,-21,Not-violated
4436,"[-6, -17, -17, -14, 11, -8, 4, -9, -16, 12, 15, -18, -6, 12]","[-9, 12, -17, -16, -6, 12, -8, -18, 4, -6, -17, -14, 11, 15]",-12,-36,Violated
4437,"[14, -4, 13, -20]","[14, -20, -4, 13]",-46,-138,Violated
4438,"[10, -1, -3, 6, -8, 8, 16, -13, -20, 8]","[-1, -20, 8, 6, 10, -8, 8, -3, -13, 16]",-5,-15,Violated
4439,"[2, -7, 5, -19, 17, -6]","[17, -19, -7, 5, -6, 2]",50,150,Violated
4440,"[-7, 4, -1, 13, -15, 5, -7, 8, -18, 16, 6, 19, -16]","[-15, 19, 13, -1, 16, -7, -16, 5, -18, 8, 4, -7, 6]",-13,-39,Violated
4441,"[-10, 3, 19]","[3, -10, 19]",2,6,Not-violated
4442,"[12, -6, 6, -1, 15, 5, 19, 1, -4, 18, 13, -16, -6]","[-4, -6, 18, -16, 1, 13, -1, 15, 6, 12, 5, 19, -6]",-17,-51,Violated
4443,"[-8, -6, -8, -2, 5, 11, -10, -18, 13]","[-6, -10, 11, 5, -8, 13, -2, -8, -18]",-10,-30,Not-violated
4444,"[14, 19, 18, 19, -6, -14, 9, -18, -14]","[-14, -6, -14, 9, 14, 19, 18, 19, -18]",23,69,Not-violated
4445,"[12, -5, -10, 15]","[-5, 12, 15, -10]",-45,-135,Violated
4446,"[-3, 10, -1, -14, 11, -16, 1, 11, 15]","[11, -1, 10, -3, -14, 1, -16, 11, 15]",-25,-75,Violated
4447,"[10, -8, 11, 15, -8, -4]","[11, 15, -8, -4, 10, -8]",36,108,Not-violated
4448,"[9, 10, 18, 7, 15, -19, 12, 18, 13, 3, 15, 2]","[7, 3, 18, 18, 9, 13, 15, 15, -19, 2, 12, 10]",-34,-102,Not-violated
4449,"[-4, 19, 15, 11, 18, -13, 15, -17, -17, -16, -17, 15]","[15, 15, 11, -17, 18, -17, -13, -16, 19, -17, 15, -4]",20,60,Not-violated
4450,"[-7, -3, 19, 0, -11, -18, 6, 10, 15, -8, -10, -15, -4, -4]","[-8, 0, 6, 19, -18, -10, -15, 10, -4, -7, -4, 15, -3, -11]",19,57,Not-violated
4451,"[-18, -12, -13, 6, -6, -12, -3, 15, -5]","[15, -3, -5, -6, -13, -12, 6, -18, -12]",-43,-129,Violated
4452,"[5, 13, 0, 14, 6, 5, 15, 15, 10]","[5, 14, 0, 15, 15, 5, 6, 13, 10]",-39,-117,Violated
4453,"[-15, 13, 7, 13, -13, 0, -8]","[7, 13, 0, -8, 13, -15, -13]",0,0,Not-violated
4454,"[-13, 3, 13, 2, -15, -1, -7, 1, -14, 10, -19, -20, -17]","[1, -13, -14, -19, 10, 3, -20, -1, 13, -15, -7, 2, -17]",-31,-93,Not-violated
4455,"[15, -19, 12]","[15, -19, 12]",60,180,Not-violated
4456,"[3, -5, 8, 5, 15]","[8, 15, 5, 3, -5]",-27,-81,Violated
4457,"[-9, 17, 11, 14, -8, -19, -4, 3, -4, -12, -12]","[3, -8, -12, -19, 14, 17, -4, -9, -4, 11, -12]",51,153,Not-violated
4458,"[9, -4, 15, -5, -11, 10, -5, -12, 0, 0, 17, 15, -11]","[0, 15, -11, -5, 10, -11, 0, -12, -4, 15, 9, -5, 17]",23,69,Violated
4459,"[9, 0, 0, -4, -5, 9, -14]","[9, -4, 0, -14, 9, 0, -5]",-9,-27,Not-violated
4460,"[-18, -18, 18, -17, -1, 1, -14, 14]","[-1, 18, -18, 14, -18, 1, -14, -17]",-63,-189,Violated
4461,"[14, 17, 17, 19, -8, -9]","[-9, -8, 14, 19, 17, 17]",-64,-192,Violated
4462,"[-2, 3, 14, 7, -1, 8, -16, -2, -2]","[-2, -16, -1, -2, 14, 7, 3, -2, 8]",29,87,Not-violated
4463,"[18, -4, 8, 8]","[-4, 8, 18, 8]",-31,-93,Violated
4464,"[-15, -6, 9, -8, -1, 8, -13, 12, 3, -5, -15]","[8, -5, 3, -1, 9, -15, 12, -8, -6, -13, -15]",-57,-171,Violated
4465,"[-14, 17, 2]","[2, 17, -14]",21,63,Not-violated
4466,"[1, -20, -18, -1, 18, 5, 10, -7, -3, 11, 12, 2]","[1, 12, 18, 10, -18, -20, -7, 5, -3, 11, -1, 2]",-25,-75,Violated
4467,"[8, 18, 11, -3, 17, 10]","[-3, 17, 18, 10, 11, 8]",-11,-33,Violated
4468,"[18, 7, 11]","[11, 7, 18]",-37,-111,Not-violated
4469,"[-9, -20, -1, -14, 7, 12, 12, -13, 4, 1, 0, 15]","[-13, 7, 1, 15, -14, 0, 12, 4, -9, 12, -1, -20]",16,48,Not-violated
4470,"[-17, 2, 11, -4]","[-17, -4, 11, 2]",35,105,Not-violated
4471,"[-20, -17, 9, -6, -4, -11, 12, 13, 7]","[-6, 7, 9, 13, -20, -17, 12, -4, -11]",4,12,Not-violated
4472,"[-1, 12, 6, 11, -8, 5]","[11, 5, 12, -1, 6, -8]",5,15,Violated
4473,"[-7, -13, -10, -8, 10, -3, 2, -2, 0, -7, -7, 11]","[2, -7, -10, -2, -7, 10, -7, 11, -13, 0, -3, -8]",61,183,Violated
4474,"[7, -5, -8, -5, -7, -9]","[-7, -8, 7, -9, -5, -5]",5,15,Not-violated
4475,"[-16, 3, -3, -10, -3, -3]","[-3, -3, 3, -10, -3, -16]",-35,-105,Not-violated
4476,"[-6, 2, 18, 4, -10, -9, -2, -8, 11, -4, 11]","[18, 4, 11, -9, -8, -4, -6, 2, 11, -2, -10]",22,66,Violated
4477,"[11, -10, 5, 19, 18, 17, -20, 3, 19, 2, -7, -5, 18, -14]","[5, -10, 3, 18, -20, 18, -7, 2, 17, -14, 19, 11, 19, -5]",44,132,Not-violated
4478,"[6, -18, -10, 16, -11, -4, 14, -12, -20, -3, -4]","[-20, -11, -10, -4, -4, -18, 14, 16, -12, 6, -3]",-7,-21,Not-violated
4479,"[-15, -3, -15, -7, 17, 4, 18, 3, 11]","[4, -7, 18, -15, -3, -15, 3, 11, 17]",31,93,Not-violated
4480,"[17, 9, -16]","[17, -16, 9]",6,18,Violated
4481,"[10, -12, -4, -19, -8, -1, -6, 8, -12, -12, -20]","[-19, -12, -8, -4, -20, -12, -6, 10, -1, 8, -12]",31,93,Not-violated
4482,"[19, 11, -10, 3, 3, 17, -8, -10, -6, 7, -15]","[3, -10, 3, -10, 11, -6, -15, 19, 17, 7, -8]",4,12,Violated
4483,"[-5, -19, 8, -13, -4, 13, 19]","[-19, -5, -4, -13, 13, 8, 19]",21,63,Not-violated
4484,"[-3, -6, -15, 13, -6, 10, -10, -4, -5, 8, -5]","[-5, -15, -4, 13, -5, -3, 10, 8, -6, -10, -6]",-21,-63,Violated
4485,"[-8, -4, 5, -15, 9, -11, -5, -12, -9, -1, 7, 8]","[-8, 8, -15, -1, -5, -11, -12, 7, 9, -4, 5, -9]",-25,-75,Not-violated
4486,"[4, -9, 12]","[-9, 12, 4]",6,18,Not-violated
4487,"[14, -17, 6]","[-17, 14, 6]",11,33,Violated
4488,"[6, -19, 14, -15, 18]","[6, -15, -19, 14, 18]",65,195,Not-violated
4489,"[-18, -19, -9, 5, 4, 18, -6]","[18, -19, 4, -18, -9, 5, -6]",15,45,Not-violated
4490,"[13, -4, 3, -3, 6, -6, 10, 6, 0, -9, 4, 16, 5]","[0, -4, 6, 13, -3, 6, -9, -6, 10, 16, 5, 3, 4]",-42,-126,Not-violated
4491,"[18, -2, -5, 19, -12]","[-12, 19, -2, -5, 18]",-26,-78,Violated
4492,"[19, 2, -3, -11, 7, -18, 17, -7, 9, 16]","[-3, -7, 19, -11, 17, 9, 7, -18, 16, 2]",18,54,Not-violated
4493,"[12, 7, 11, 14, -14]","[-14, 7, 12, 14, 11]",-22,-66,Violated
4494,"[15, -1, 15, 6, -9, -1, -20]","[15, 15, -1, -20, -1, 6, -9]",-34,-102,Not-violated
4495,"[10, -1, 19, 18, -3, -20]","[-20, 10, 19, -1, 18, -3]",-3,-9,Violated
4496,"[-19, -16, 8, 7, 16, -3, 5]","[16, 8, 7, -19, 5, -3, -16]",-36,-108,Violated
4497,"[13, -19, 12, -12, 3, 0, 5, -11]","[0, 12, 5, -11, -12, 3, -19, 13]",9,27,Violated
4498,"[-11, 6, -12, -17, -10, 14, 9, -19, 2, 15, 18, 9, 13, -13]","[-17, -19, 14, 15, -11, 18, 2, 9, -12, 9, 13, -10, 6, -13]",0,0,Not-violated
4499,"[2, 3, 17]","[17, 3, 2]",-33,-99,Violated
4500,"[2, 4, 13, 6, 6, -14, 2, 8, 14, 17, -12, 18, 15, 12]","[14, 2, 2, 4, 12, 15, 6, 6, -12, -14, 18, 17, 8, 13]",9,27,Not-violated
4501,"[6, -13, -9, -20, 3, -9, -11, -5, 6, -9, 8]","[6, 6, -9, -9, 3, -11, -9, -20, -13, 8, -5]",-2,-6,Not-violated
4502,"[-16, 12, 7, 12, -5, 10, 5, 18, 9, 7, 2, 14]","[-5, 18, 12, 10, 7, 5, 14, 12, 7, 9, -16, 2]",-82,-246,Violated
4503,"[-17, -7, -3, 2, -8, 10, 2, -17, -16]","[2, -16, 2, -7, 10, -3, -8, -17, -17]",-35,-105,Violated
4504,"[5, 11, 17, 2, 5, -8, -8, 3, 5, -13]","[11, 17, 3, 2, -8, 5, -8, 5, 5, -13]",-78,-234,Violated
4505,"[13, 6, -11, -10, -3, 11, -3, 8, 16, 13, 0, -1, -6]","[-3, 16, 13, -11, 11, -10, 0, 13, -3, 8, 6, -1, -6]",1,3,Not-violated
4506,"[5, -9, -8, -4, 10, -20, 10, 15, -13, 12, 1, 15, 5]","[-4, 10, -8, 15, -20, 1, 5, 5, 12, -13, -9, 15, 10]",16,48,Not-violated
4507,"[7, 7, -5, 4, 12, -5, -4, -15, 14]","[7, -4, -5, -15, 7, 4, 12, -5, 14]",-52,-156,Violated
4508,"[17, -1, 11, 14]","[17, -1, 14, 11]",-9,-27,Violated
4509,"[19, 9, 14, 15]","[19, 9, 15, 14]",-27,-81,Violated
4510,"[-15, 11, -11, 13, 11, 18, 5, 4, -9, -16, -17, -3, -18, 1]","[18, -11, -3, -9, -15, 4, 5, -17, 11, 13, -18, 11, 1, -16]",53,159,Not-violated
4511,"[19, 12, 18, -19, -5, -19, 8, -2, 0, -1, -9, -3]","[0, -5, 12, 19, -19, 8, -9, -1, 18, -19, -3, -2]",1,3,Not-violated
4512,"[9, -19, -17, 18]","[9, -17, -19, 18]",-24,-72,Violated
4513,"[-16, 0, -1, -12, -11, -3, 2, 11, 5, -4, 11, -16, 9]","[2, -4, 5, 11, -11, 9, 0, -1, -12, -16, 11, -16, -3]",-26,-78,Violated
4514,"[19, 13, 7, -13, -19, -2, 19, -6, 9, 1, -13, -1, 19]","[-2, -19, -13, -1, 13, 7, -6, -13, 1, 19, 9, 19, 19]",-37,-111,Not-violated
4515,"[-11, -6, -11, -6, -18, -1, -2]","[-11, -6, -18, -11, -1, -6, -2]",-38,-114,Not-violated
4516,"[4, 1, -4, -2, 7, 19, 13]","[-2, -4, 19, 13, 7, 4, 1]",15,45,Violated
4517,"[5, 0, -20]","[-20, 5, 0]",32,96,Not-violated
4518,"[8, -2, 9, 2, 6, 11]","[6, 9, 8, 2, -2, 11]",23,69,Not-violated
4519,"[-9, 6, -18, 13, 1, -8, 10, 7, 8, -7, 2, 19]","[2, 19, 13, -7, -18, 8, -8, 7, 1, -9, 6, 10]",-34,-102,Not-violated
4520,"[17, -6, 18, 16, 9, 0]","[16, -6, 18, 9, 17, 0]",-34,-102,Not-violated
4521,"[-15, 3, -9, 10, -2, 18, 14, 0, -1]","[10, -15, -2, -1, -9, 3, 14, 0, 18]",25,75,Violated
4522,"[-16, 0, -11, 9, 4, 14]","[-11, 0, 9, 14, -16, 4]",0,0,Not-violated
4523,"[-9, -18, -4, 5, 13, 15, 17]","[5, -18, -4, 13, 15, -9, 17]",-19,-57,Violated
4524,"[2, 2, 15, 17, -20, -16, -12, 8, 11]","[11, -16, 2, -20, 8, 15, -12, 2, 17]",-48,-144,Violated
4525,"[6, -19, 12, 8, 5, 13, 2, -15, 13, -20, -4, 1]","[12, 6, -20, 2, -19, 5, 13, -4, -15, 1, 13, 8]",-3,-9,Violated
4526,"[9, -9, 12, 5, -11, -20, -15]","[-9, 12, -15, 9, -11, -20, 5]",27,81,Violated
4527,"[-13, 17, 6, -19, 11, -7, 1, -8, -19, 11, -20, -12, 2]","[17, -19, 11, 2, 1, 11, -12, 6, -7, -20, -13, -8, -19]",24,72,Violated
4528,"[-20, -11, -13, -15, 8, -18, -16, 16, 8, -12, -18]","[-18, -20, 16, 8, -18, -12, 8, -15, -16, -11, -13]",17,51,Not-violated
4529,"[16, -6, -11, 0, 2, -6, -18, -2, 12, -16, 13, -11, 9, -12]","[-11, 12, -16, -6, -6, 13, 16, 0, -18, -2, -12, 9, -11, 2]",-13,-39,Not-violated
4530,"[1, 4, 4, 15, 1, 14, -20, -8, 2, -17, 17, -4]","[-20, 2, -8, 4, -4, 15, 4, 17, 14, 1, -17, 1]",-46,-138,Violated
4531,"[11, 8, 10, -7, 18, 16, -17, 15, 6, 4, 10]","[-7, 10, 11, 15, 18, 10, 4, -17, 6, 8, 16]",17,51,Not-violated
4532,"[-16, -5, 0, -14, -13, -3, -15, -17]","[0, -3, -17, -16, -14, -13, -15, -5]",38,114,Not-violated
4533,"[1, -12, -4, 0, -9, 5, 4, -2, 19, 17, 2, 8]","[19, -12, -2, 0, 2, 1, 4, 5, 8, -4, 17, -9]",-77,-231,Not-violated
4534,"[-10, 4, -1, -3, -8]","[-10, -1, 4, -3, -8]",-21,-63,Violated
4535,"[9, 10, -6, -14, -9, -2, -9, 9, -6, -5, 1]","[-5, -6, -9, 9, -2, 9, 1, -14, -9, 10, -6]",85,255,Not-violated
4536,"[1, 15, -6, 6, 10, -15, 14, -14, 13, 10, -2, -15, 8]","[10, -14, -15, 1, -2, 15, 14, 8, -15, -6, 6, 10, 13]",-29,-87,Not-violated
4537,"[8, 19, 8, 1, -17, -8, 3, 13, -13]","[8, 13, -17, 8, -8, 19, -13, 1, 3]",-10,-30,Not-violated
4538,"[10, 14, -14, 15, 3, 17, 8, 1, 14, -13, -16, -12]","[14, -12, -16, 8, 10, 14, -13, 1, 3, -14, 15, 17]",-10,-30,Not-violated
4539,"[-15, 0, -2, 14]","[14, 0, -2, -15]",30,90,Not-violated
4540,"[-19, 5, 19, -19, 13, -6, -4]","[-6, 13, 5, 19, -4, -19, -19]",2,6,Not-violated
4541,"[-8, 18, -10, 2, 9, -5, 2, -13, 0, 3, -16, 8, 13, 6]","[18, 9, -8, 6, 8, 13, 2, 0, -10, 2, -5, -13, -16, 3]",-39,-117,Not-violated
4542,"[12, -6, 9, 9, -18, -5, 5, -10, 16]","[16, -5, -6, 12, 9, 5, 9, -18, -10]",-51,-153,Violated
4543,"[1, -19, 5]","[-19, 1, 5]",-6,-18,Violated
4544,"[-17, -16, 16, -18, -12, 15, -15]","[-16, 16, -17, -15, -12, 15, -18]",-12,-36,Not-violated
4545,"[-4, 1, -12, 0]","[-4, -12, 1, 0]",17,51,Not-violated
4546,"[0, -4, -4, -2, 4, 12, -5, -16, 7, -5, -4, 4, 18]","[7, -5, -4, 12, -5, -2, 4, -4, -4, -16, 0, 18, 4]",-28,-84,Violated
4547,"[-17, 4, -4, 15, 16, -20, -18]","[4, 15, -18, -17, 16, -20, -4]",17,51,Not-violated
4548,"[-7, -8, -2, -3, -17, -18, 16, 3, 16, 9, -9]","[3, -7, 9, -18, -8, -9, -17, 16, -3, 16, -2]",-39,-117,Violated
4549,"[9, 4, -7, -3, -8, -11, -11, -13, -20, 12, -14, -1]","[-1, -11, 12, 4, -13, -3, -8, -14, 9, -7, -20, -11]",-14,-42,Violated
4550,"[12, -6, -18, -10, -20, 18, -1, -19, -11, 1, -9, 2, -20, -6]","[-9, 18, -19, -11, -20, -6, -6, -18, -10, -20, 12, 1, -1, 2]",-15,-45,Violated
4551,"[-13, 5, -12, 9, -16]","[-12, 9, 5, -16, -13]",15,45,Not-violated
4552,"[5, -19, 9, 5, 9, -2, -11, -3, 16]","[9, -11, 5, -2, -3, 9, 16, -19, 5]",-12,-36,Not-violated
4553,"[8, -10, 5, -3, 15, -14, -3, -14, 17, -6]","[8, 17, -3, -10, -14, 15, 5, -3, -14, -6]",-34,-102,Violated
4554,"[17, -11, 2, -1, -2, 9, 2]","[-1, -2, 17, 2, 9, 2, -11]",-43,-129,Violated
4555,"[5, -13, 4, -20, 4, -14, -14, 2, 13, 7, 7, -20, -17]","[7, -20, -14, -20, -14, 13, 4, 7, 5, 2, -13, -17, 4]",39,117,Violated
4556,"[2, 4, 8, -18]","[4, 2, 8, -18]",8,24,Violated
4557,"[-19, 3, -4, -9, 18]","[3, -9, 18, -19, -4]",12,36,Not-violated
4558,"[8, 9, 5, 15, 18, -5, -17, -14, -19, -11, -12]","[-12, -5, 5, -14, -17, -11, 18, 8, 15, 9, -19]",-48,-144,Violated
4559,"[-3, 6, 1, -17, -1, -3, -14]","[-3, 1, -1, -3, -17, 6, -14]",-70,-210,Not-violated
4560,"[12, 9, 5, 10, 15, -3, 15, 18]","[12, 15, -3, 5, 10, 15, 18, 9]",55,165,Not-violated
4561,"[-18, 6, -13, -13, 7, 12, 4, 15, -13, 10, 14, 14, -1, 2]","[4, -13, 2, 10, 6, -13, 7, 14, 12, -13, -1, -18, 14, 15]",-13,-39,Violated
4562,"[5, -9, 2, -18, -15, 14, 17, 14, 6, 12]","[-9, -15, -18, 12, 14, 2, 5, 6, 14, 17]",-22,-66,Violated
4563,"[-10, -20, -15, -17, 18, 6, 16, -8, -8, 14, 13, 19, 6]","[13, -15, -20, 16, -8, 6, -8, -17, 18, 6, 14, 19, -10]",32,96,Violated
4564,"[5, -12, 19, -1, -7, -16, 3, 7, 10]","[3, -12, 5, 19, -7, 7, -16, -1, 10]",-7,-21,Violated
4565,"[15, -17, -15, 3, 13, 19, -2, -5]","[19, 15, -15, 3, 13, -5, -2, -17]",24,72,Not-violated
4566,"[-20, 15, 5, 15]","[15, 15, 5, -20]",11,33,Violated
4567,"[9, 18, -18, -10, 8, 7]","[18, -10, 9, -18, 7, 8]",-4,-12,Not-violated
4568,"[-6, -14, 8, -16, -15, -5, -8, -2, 3, -7, 8, 8, 6, -8]","[-2, 3, 8, -5, -14, -16, -6, 6, -8, -15, -7, 8, 8, -8]",-44,-132,Violated
4569,"[-18, 3, 1, 11, 13, 13, 13, 9]","[3, 1, 13, 11, -18, 9, 13, 13]",-46,-138,Not-violated
4570,"[-6, -14, 1, 1]","[-6, 1, 1, -14]",-21,-63,Violated
4571,"[-7, -5, -17, -9, 13, 5, 12, 18, 7, -18, -6, 14, 9, 18]","[-6, -5, 5, 18, 14, 7, -18, -7, 12, 18, 9, -17, 13, -9]",-12,-36,Violated
4572,"[-9, 4, 5, -11, -4, -18, -6, 1, 12, 17]","[-6, -18, -9, -4, 1, 17, -11, 5, 4, 12]",34,102,Not-violated
4573,"[7, 16, 6, -2]","[16, -2, 7, 6]",6,18,Violated
4574,"[-20, -5, -8, -9, 8, -9]","[8, -9, -8, -9, -5, -20]",-3,-9,Not-violated
4575,"[-14, 14, -9, 1, -12, -13, -16, 3, -11, -8, 11, -2, 12, 9]","[14, -11, -14, -8, 12, -13, -16, 3, -12, -2, 9, 1, 11, -9]",-79,-237,Not-violated
4576,"[-18, -10, 1, -17, 12]","[-18, 1, -17, 12, -10]",-36,-108,Violated
4577,"[-10, 10, 10, 17, 2, -6, -20, 1, -10, -20, 16, 18, 5, -1]","[17, 1, -20, 10, 10, -6, -10, 18, 5, 16, -1, -10, 2, -20]",-32,-96,Not-violated
4578,"[14, 6, -12, -1, -17, -2, -16, 17, 19, 2, 7]","[-12, 6, -16, 7, 19, 14, -17, 2, -1, -2, 17]",-12,-36,Violated
4579,"[14, 2, 6, -11, -1, -20, 4]","[-11, 14, 6, -1, 2, 4, -20]",-26,-78,Not-violated
4580,"[-20, 6, -7, -20, 13, 8, -2, -5, 5, 16, -12, 16, -11]","[13, -11, -20, -5, -20, 5, -7, 6, -12, 16, 8, -2, 16]",53,159,Violated
4581,"[9, -12, -3]","[-3, -12, 9]",-1,-3,Not-violated
4582,"[-19, -14, 15, -2, 10, 13, -6, -14, -8, -6, 11]","[-14, 15, 11, -19, -14, -2, 10, -8, -6, 13, -6]",-3,-9,Violated
4583,"[9, -14, -18, 9, 10, -1, -14, -7, 1, 3, -8, 12, 5, 7]","[3, 1, 7, 12, -8, -18, 10, -14, -7, 9, -14, 9, -1, 5]",22,66,Not-violated
4584,"[-5, -20, -1, -11, -16, -20, 8, 10, -20, -11]","[-11, -16, -1, -20, -11, -20, -20, 10, 8, -5]",10,30,Not-violated
4585,"[-19, 7, 2]","[-19, 2, 7]",-32,-96,Violated
4586,"[-20, -15, -15, 19, -8, 6, 17, -6, -14, -11, 13, -3]","[-6, 6, -11, -20, -3, 17, -14, 13, -8, -15, 19, -15]",20,60,Not-violated
4587,"[-16, 8, -11, 4, -18, -10, -13, 8, 2, -9, 0, 9, -19, -14]","[-14, 2, -9, 9, 8, -11, -19, 4, -16, -10, -13, 0, -18, 8]",-20,-60,Violated
4588,"[-9, -6, 6, -7]","[-9, -6, 6, -7]",-11,-33,Violated
4589,"[9, -13, -10]","[-13, 9, -10]",-29,-87,Violated
4590,"[2, -15, -6, 19, -10, 1, 9, 17, 5, -13, -9]","[-15, 1, -13, 17, 5, 2, -10, -9, 9, 19, -6]",2,6,Not-violated
4591,"[-10, 7, 19, 13, -17, 18, -19, 17, -8, 0, 4, -9, 5, -14]","[-17, 18, -9, 17, 13, -8, 4, 5, 0, -19, 7, -10, 19, -14]",13,39,Not-violated
4592,"[17, 15, -7, 17, -15, 10, -13, -20, -8, -8, 7, 4, 17, -6]","[15, 17, -20, -7, 4, -8, 17, -15, -8, -6, 17, 10, 7, -13]",3,9,Not-violated
4593,"[-19, -19, 18, 15, 13, 13, 3, -3, -6, 3, 18]","[13, 18, 3, -6, 18, -3, 13, 3, -19, -19, 15]",23,69,Not-violated
4594,"[15, -2, -13, 7, 11, 11, -8, 9, -18, -6]","[-2, -6, 9, 11, 15, -13, -8, -18, 11, 7]",-6,-18,Not-violated
4595,"[-2, -15, 18, -1, -15, 18, 15]","[18, 15, -2, 18, -15, -1, -15]",-4,-12,Violated
4596,"[0, -16, -12, 3, -19, -18, -3, 18, 3, -12, -3, -13, -7, 18]","[-7, -3, 3, 3, -12, -19, -3, -18, 18, -12, -16, -13, 0, 18]",-39,-117,Violated
4597,"[-5, 16, 0, -19]","[-19, 0, -5, 16]",1,3,Not-violated
4598,"[7, -4, 13, -7, 11, 2, -7, 18, 1, 9, 7]","[1, -7, 7, -4, 18, -7, 2, 13, 7, 11, 9]",37,111,Violated
4599,"[-3, 9, 10, 11, 0, 11]","[-3, 0, 11, 10, 11, 9]",-35,-105,Violated
4600,"[11, 18, -11]","[18, -11, 11]",7,21,Violated
4601,"[11, -19, 18, 5, -7, 9, 10, -9]","[11, 18, 10, -19, 5, 9, -7, -9]",-9,-27,Not-violated
4602,"[13, 8, 17, 13, -16, -4, 9, 12]","[-4, 13, 9, 13, 17, 8, 12, -16]",-7,-21,Not-violated
4603,"[17, -8, 17, -14, 0, 2, -4, 5, -13, 15]","[-14, 17, 17, 0, 2, 15, -13, -8, -4, 5]",-13,-39,Violated
4604,"[1, -13, -11, 12, 14, 1]","[1, 14, 1, -11, -13, 12]",5,15,Not-violated
4605,"[-13, -2, -16, -11, 4, -20, 5]","[-16, 5, 4, -2, -13, -11, -20]",34,102,Not-violated
4606,"[0, -20, 3, 18, -2, 7, 16, -8, 10, 3, -14, -14, -13, -18]","[3, -8, 18, 16, -18, -20, 3, 0, -14, 7, -2, -13, -14, 10]",41,123,Not-violated
4607,"[7, -20, -8, 17, -1, 8, 9, 1, -15, -17, 7, 6, 18, -15]","[-15, 6, 8, -8, 9, 7, -17, -1, 17, -15, 7, -20, 1, 18]",-45,-135,Violated
4608,"[6, 6, 17]","[6, 6, 17]",-15,-45,Violated
4609,"[9, -18, 10, 10, -14, -2, -15]","[9, -2, -15, -18, 10, -14, 10]",15,45,Violated
4610,"[-16, -4, -16]","[-16, -16, -4]",-51,-153,Violated
4611,"[1, -16, 15, -6, -11, 10, 1, -4, 3, 14, 11, 1, -20, -2]","[10, -11, -2, 11, -20, 1, 3, 15, -4, 1, 14, 1, -6, -16]",-16,-48,Not-violated
4612,"[0, -17, -14, -1, 7, 1]","[0, -1, -17, 7, 1, -14]",-17,-51,Violated
4613,"[-10, -2, -9, -7, -12, 13, 2, 4]","[-9, -12, -2, 4, -7, 2, -10, 13]",-15,-45,Violated
4614,"[14, -18, 7, 8, -6, -14]","[-14, -6, -18, 14, 7, 8]",-64,-192,Violated
4615,"[-2, -14, 7]","[-2, 7, -14]",-17,-51,Violated
4616,"[19, -19, 7, -1, -12, 16, 16, 12, 19, 5, -14, 15, 7]","[-1, 16, -19, -14, 7, 7, -12, 12, 15, 19, 5, 16, 19]",25,75,Violated
4617,"[4, -5, 11, -11, 4, 11, -10, 9, -12, -10]","[-10, -5, 4, -11, -10, 11, 9, 11, 4, -12]",-19,-57,Not-violated
4618,"[-19, 2, -8, -3, 6, 0, 14, 10, 0, -10, -13]","[10, 0, 6, 2, -10, 0, -8, -3, -19, -13, 14]",-8,-24,Not-violated
