input_a,input_b,output
"[[0.011, 0.189], [0.541, 0.044]]","[[0.173, 0.03], [0.395, 0.633]]","[[0.184, 0.219], [0.936, 0.677]]"
"[[0.734, 0.765], [0.104, 0.042]]","[[0.12, 0.39], [0.723, 0.452]]","[[0.854, 1.155], [0.827, 0.494]]"
"[[0.644, 0.566], [0.392, 0.123]]","[[0.31, 0.036], [0.334, 0.488]]","[[0.954, 0.602], [0.726, 0.611]]"
"[[0.943, 0.507], [0.016, 0.718]]","[[0.487, 0.835], [0.373, 0.964]]","[[1.43, 1.342], [0.389, 1.682]]"
"[[0.052, 0.034], [0.535, 0.048]]","[[0.517, 0.969], [0.988, 0.825]]","[[0.5690000000000001, 1.003], [1.5230000000000001, 0.873]]"
"[[0.98, 0.997], [0.27, 0.277]]","[[0.871, 0.809], [0.56, 0.528]]","[[1.851, 1.806], [0.8300000000000001, 0.805]]"
"[[0.557, 0.933], [0.914, 0.642]]","[[0.176, 0.576], [0.903, 0.97]]","[[0.7330000000000001, 1.509], [1.8170000000000002, 1.612]]"
"[[0.451, 0.022], [0.315, 0.987]]","[[0.136, 0.188], [0.97, 0.921]]","[[0.587, 0.21], [1.285, 1.908]]"
"[[0.347, 0.433], [0.478, 0.644]]","[[0.506, 0.926], [0.235, 0.878]]","[[0.853, 1.359], [0.713, 1.522]]"
"[[0.533, 0.851], [0.013, 0.836]]","[[0.319, 0.759], [0.273, 0.216]]","[[0.8520000000000001, 1.6099999999999999], [0.28600000000000003, 1.052]]"
"[[0.428, 0.529], [0.823, 0.255]]","[[0.138, 0.079], [0.412, 0.82]]","[[0.5660000000000001, 0.608], [1.2349999999999999, 1.075]]"
"[[0.201, 0.982], [0.578, 0.684]]","[[0.571, 0.632], [0.83, 0.249]]","[[0.772, 1.6139999999999999], [1.408, 0.933]]"
"[[0.442, 0.631], [0.355, 0.079]]","[[0.284, 0.466], [0.343, 0.989]]","[[0.726, 1.097], [0.698, 1.068]]"
"[[0.619, 0.683], [0.076, 0.862]]","[[0.743, 0.276], [0.776, 0.762]]","[[1.362, 0.9590000000000001], [0.852, 1.624]]"
"[[0.545, 0.169], [0.597, 0.057]]","[[0.621, 0.689], [0.935, 0.646]]","[[1.166, 0.858], [1.532, 0.7030000000000001]]"
"[[0.98, 0.41], [0.227, 0.951]]","[[0.814, 0.411], [0.121, 0.983]]","[[1.794, 0.821], [0.348, 1.934]]"
"[[0.504, 0.947], [0.578, 0.852]]","[[0.055, 0.321], [0.087, 0.505]]","[[0.559, 1.268], [0.6649999999999999, 1.357]]"
"[[0.108, 0.713], [0.42, 0.338]]","[[0.59, 0.607], [0.285, 0.27]]","[[0.698, 1.3199999999999998], [0.705, 0.6080000000000001]]"
"[[0.981, 0.959], [0.192, 0.389]]","[[0.596, 0.539], [0.064, 0.825]]","[[1.577, 1.498], [0.256, 1.214]]"
"[[0.797, 0.049], [0.38, 0.987]]","[[0.65, 0.131], [0.202, 0.318]]","[[1.447, 0.18], [0.5820000000000001, 1.305]]"
"[[0.661, 0.304], [0.51, 0.411]]","[[0.438, 0.109], [0.923, 0.498]]","[[1.099, 0.413], [1.433, 0.909]]"
"[[0.13, 0.953], [0.902, 0.487]]","[[0.403, 0.386], [0.941, 0.884]]","[[0.533, 1.339], [1.843, 1.371]]"
"[[0.074, 0.539], [0.469, 0.424]]","[[0.175, 0.435], [0.739, 0.262]]","[[0.249, 0.974], [1.208, 0.6859999999999999]]"
"[[0.787, 0.187], [0.558, 0.638]]","[[0.506, 0.818], [0.064, 0.1]]","[[1.2930000000000001, 1.005], [0.6220000000000001, 0.738]]"
"[[0.166, 0.177], [0.21, 0.181]]","[[0.381, 0.781], [0.532, 0.458]]","[[0.547, 0.958], [0.742, 0.639]]"
"[[0.918, 0.496], [0.14, 0.782]]","[[0.3, 0.545], [0.556, 0.595]]","[[1.218, 1.041], [0.6960000000000001, 1.377]]"
"[[0.337, 0.496], [0.136, 0.335]]","[[0.801, 0.088], [0.7, 0.165]]","[[1.1380000000000001, 0.584], [0.836, 0.5]]"
"[[0.008, 0.45], [0.769, 0.399]]","[[0.797, 0.711], [0.872, 0.661]]","[[0.805, 1.161], [1.641, 1.06]]"
"[[0.269, 0.119], [0.756, 0.914]]","[[0.976, 0.143], [0.093, 0.595]]","[[1.245, 0.262], [0.849, 1.509]]"
"[[0.831, 0.532], [0.207, 0.705]]","[[0.021, 0.644], [0.995, 0.317]]","[[0.852, 1.1760000000000002], [1.202, 1.022]]"
"[[0.384, 0.688], [0.157, 0.324]]","[[0.984, 0.444], [0.844, 0.258]]","[[1.3679999999999999, 1.132], [1.001, 0.5820000000000001]]"
"[[0.627, 0.864], [0.573, 0.89]]","[[0.016, 0.66], [0.225, 0.663]]","[[0.643, 1.524], [0.7979999999999999, 1.553]]"
"[[0.022, 0.563], [0.44, 0.448]]","[[0.49, 0.28], [0.143, 0.033]]","[[0.512, 0.843], [0.583, 0.481]]"
"[[0.129, 0.087], [0.266, 0.315]]","[[0.101, 0.43], [0.601, 0.306]]","[[0.23, 0.517], [0.867, 0.621]]"
"[[0.904, 0.501], [0.559, 0.333]]","[[0.335, 0.251], [0.726, 0.331]]","[[1.239, 0.752], [1.2850000000000001, 0.664]]"
"[[0.766, 0.787], [0.654, 0.743]]","[[0.275, 0.512], [0.741, 0.952]]","[[1.041, 1.299], [1.395, 1.6949999999999998]]"
"[[0.263, 0.925], [0.39, 0.873]]","[[0.172, 0.883], [0.099, 0.14]]","[[0.435, 1.808], [0.489, 1.013]]"
"[[0.165, 0.891], [0.025, 0.719]]","[[0.345, 0.798], [0.925, 0.301]]","[[0.51, 1.689], [0.9500000000000001, 1.02]]"
"[[0.58, 0.276], [0.96, 0.26]]","[[0.535, 0.912], [0.644, 0.155]]","[[1.115, 1.1880000000000002], [1.604, 0.41500000000000004]]"
"[[0.595, 0.445], [0.444, 0.108]]","[[0.778, 0.886], [0.838, 0.082]]","[[1.373, 1.331], [1.282, 0.19]]"
"[[0.022, 0.231], [0.561, 0.308]]","[[0.372, 0.888], [0.978, 0.492]]","[[0.394, 1.119], [1.5390000000000001, 0.8]]"
"[[0.743, 0.003], [0.377, 0.585]]","[[0.642, 0.006], [0.414, 0.777]]","[[1.385, 0.009000000000000001], [0.7909999999999999, 1.362]]"
"[[0.761, 0.534], [0.833, 0.453]]","[[0.365, 0.632], [0.73, 0.475]]","[[1.126, 1.166], [1.563, 0.9279999999999999]]"
"[[0.381, 0.819], [0.64, 0.822]]","[[0.009, 0.47], [0.579, 0.692]]","[[0.39, 1.289], [1.2189999999999999, 1.5139999999999998]]"
"[[0.816, 0.693], [0.734, 0.007]]","[[0.66, 0.994], [0.784, 0.159]]","[[1.476, 1.6869999999999998], [1.518, 0.166]]"
"[[0.845, 0.916], [0.792, 0.571]]","[[0.419, 0.557], [0.849, 0.07]]","[[1.264, 1.473], [1.641, 0.641]]"
"[[0.822, 0.135], [0.083, 0.077]]","[[0.999, 0.521], [0.91, 0.508]]","[[1.821, 0.656], [0.993, 0.585]]"
"[[0.481, 0.327], [0.284, 0.911]]","[[0.148, 0.321], [0.174, 0.18]]","[[0.629, 0.648], [0.45799999999999996, 1.091]]"
"[[0.459, 0.478], [0.218, 0.489]]","[[0.945, 0.792], [0.113, 0.473]]","[[1.404, 1.27], [0.331, 0.962]]"
"[[0.507, 0.908], [0.381, 0.952]]","[[0.902, 0.117], [0.515, 0.493]]","[[1.409, 1.0250000000000001], [0.896, 1.4449999999999998]]"
"[[0.66, 0.829], [0.687, 0.252]]","[[0.545, 0.396], [0.169, 0.274]]","[[1.205, 1.225], [0.8560000000000001, 0.526]]"
"[[0.55, 0.227], [0.386, 0.094]]","[[0.608, 0.318], [0.196, 0.197]]","[[1.158, 0.545], [0.5820000000000001, 0.29100000000000004]]"
"[[0.732, 0.145], [0.819, 0.469]]","[[0.394, 0.224], [0.67, 0.24]]","[[1.126, 0.369], [1.4889999999999999, 0.709]]"
"[[0.981, 0.506], [0.225, 0.851]]","[[0.518, 0.691], [0.545, 0.016]]","[[1.499, 1.197], [0.77, 0.867]]"
"[[0.294, 0.359], [0.576, 0.174]]","[[0.212, 0.557], [0.869, 0.718]]","[[0.506, 0.916], [1.4449999999999998, 0.8919999999999999]]"
"[[0.927, 0.265], [0.795, 0.057]]","[[0.956, 0.974], [0.436, 0.32]]","[[1.883, 1.2389999999999999], [1.231, 0.377]]"
"[[0.124, 0.695], [0.438, 0.397]]","[[0.347, 0.576], [0.667, 0.692]]","[[0.471, 1.271], [1.105, 1.089]]"
"[[0.079, 0.658], [0.136, 0.159]]","[[0.549, 0.596], [0.147, 0.219]]","[[0.628, 1.254], [0.28300000000000003, 0.378]]"
"[[0.409, 0.385], [0.211, 0.15]]","[[0.707, 0.976], [0.932, 0.198]]","[[1.1159999999999999, 1.361], [1.143, 0.348]]"
"[[0.106, 0.123], [0.306, 0.361]]","[[0.655, 0.989], [0.787, 0.964]]","[[0.761, 1.112], [1.093, 1.325]]"
"[[0.822, 0.832], [0.283, 0.792]]","[[0.958, 0.951], [0.683, 0.219]]","[[1.7799999999999998, 1.783], [0.966, 1.0110000000000001]]"
"[[0.129, 0.432], [0.124, 0.153]]","[[0.402, 0.584], [0.971, 0.506]]","[[0.531, 1.016], [1.095, 0.659]]"
"[[0.118, 0.16], [0.066, 0.824]]","[[0.737, 0.225], [0.857, 0.565]]","[[0.855, 0.385], [0.923, 1.3889999999999998]]"
"[[0.326, 0.473], [0.626, 0.023]]","[[0.229, 0.227], [0.213, 0.753]]","[[0.555, 0.7], [0.839, 0.776]]"
"[[0.731, 0.311], [0.387, 0.967]]","[[0.879, 0.299], [0.538, 0.688]]","[[1.6099999999999999, 0.61], [0.925, 1.6549999999999998]]"
"[[0.247, 0.699], [0.05, 0.748]]","[[0.911, 0.604], [0.228, 0.921]]","[[1.158, 1.303], [0.278, 1.669]]"
"[[0.967, 0.732], [0.134, 0.752]]","[[0.981, 0.996], [0.502, 0.502]]","[[1.948, 1.728], [0.636, 1.254]]"
"[[0.888, 0.168], [0.083, 0.559]]","[[0.104, 0.063], [0.036, 0.973]]","[[0.992, 0.231], [0.119, 1.532]]"
"[[0.676, 0.546], [0.089, 0.996]]","[[0.412, 0.388], [0.981, 0.796]]","[[1.088, 0.934], [1.07, 1.792]]"
"[[0.506, 0.352], [0.204, 0.931]]","[[0.417, 0.435], [0.74, 0.345]]","[[0.923, 0.7869999999999999], [0.944, 1.276]]"
"[[0.601, 0.881], [0.905, 0.847]]","[[0.476, 0.043], [0.635, 0.642]]","[[1.077, 0.924], [1.54, 1.4889999999999999]]"
"[[0.929, 0.314], [0.074, 0.709]]","[[0.836, 0.738], [0.395, 0.42]]","[[1.7650000000000001, 1.052], [0.46900000000000003, 1.129]]"
"[[0.999, 0.755], [0.946, 0.571]]","[[0.58, 0.371], [0.457, 0.522]]","[[1.579, 1.126], [1.403, 1.093]]"
"[[0.444, 0.398], [0.382, 0.563]]","[[0.386, 0.797], [0.077, 0.385]]","[[0.8300000000000001, 1.195], [0.459, 0.948]]"
"[[0.094, 0.765], [0.727, 0.261]]","[[0.976, 0.735], [0.618, 0.756]]","[[1.07, 1.5], [1.345, 1.017]]"
"[[0.647, 0.576], [0.404, 0.014]]","[[0.768, 0.787], [0.088, 0.125]]","[[1.415, 1.363], [0.492, 0.139]]"
"[[0.977, 0.919], [0.046, 0.702]]","[[0.316, 0.854], [0.05, 0.108]]","[[1.293, 1.7730000000000001], [0.096, 0.8099999999999999]]"
"[[0.842, 0.39], [0.243, 0.115]]","[[0.437, 0.812], [0.444, 0.074]]","[[1.279, 1.202], [0.687, 0.189]]"
"[[0.194, 0.034], [0.828, 0.69]]","[[0.373, 0.467], [0.777, 0.52]]","[[0.567, 0.501], [1.605, 1.21]]"
"[[0.999, 0.119], [0.818, 0.176]]","[[0.096, 0.07], [0.988, 0.658]]","[[1.095, 0.189], [1.806, 0.8340000000000001]]"
"[[0.084, 0.973], [0.161, 0.696]]","[[0.002, 0.334], [0.251, 0.887]]","[[0.08600000000000001, 1.307], [0.41200000000000003, 1.583]]"
"[[0.603, 0.115], [0.957, 0.758]]","[[0.17, 0.698], [0.172, 0.908]]","[[0.773, 0.813], [1.129, 1.666]]"
"[[0.628, 0.516], [0.188, 0.399]]","[[0.824, 0.555], [0.163, 0.221]]","[[1.452, 1.0710000000000002], [0.351, 0.62]]"
"[[0.725, 0.702], [0.882, 0.993]]","[[0.612, 0.539], [0.331, 0.042]]","[[1.337, 1.241], [1.213, 1.035]]"
"[[0.715, 0.01], [0.675, 0.225]]","[[0.395, 0.957], [0.793, 0.726]]","[[1.1099999999999999, 0.967], [1.468, 0.951]]"
"[[0.707, 0.94], [0.447, 0.973]]","[[0.773, 0.204], [0.081, 0.201]]","[[1.48, 1.144], [0.528, 1.174]]"
"[[0.329, 0.144], [0.21, 0.171]]","[[0.429, 0.552], [0.285, 0.559]]","[[0.758, 0.6960000000000001], [0.495, 0.7300000000000001]]"
"[[0.029, 0.514], [0.24, 0.271]]","[[0.008, 0.646], [0.498, 0.162]]","[[0.037000000000000005, 1.1600000000000001], [0.738, 0.43300000000000005]]"
"[[0.713, 0.426], [0.413, 0.08]]","[[0.063, 0.965], [0.056, 0.341]]","[[0.776, 1.391], [0.469, 0.42100000000000004]]"
"[[0.66, 0.304], [0.179, 0.689]]","[[0.239, 0.032], [0.716, 0.625]]","[[0.899, 0.33599999999999997], [0.895, 1.314]]"
"[[0.835, 0.024], [0.879, 0.517]]","[[0.465, 0.47], [0.283, 0.595]]","[[1.3, 0.494], [1.162, 1.112]]"
"[[0.046, 0.213], [0.235, 0.303]]","[[0.418, 0.355], [0.884, 0.03]]","[[0.46399999999999997, 0.568], [1.119, 0.33299999999999996]]"
"[[0.303, 0.787], [0.767, 0.527]]","[[0.243, 0.877], [0.92, 0.321]]","[[0.546, 1.6640000000000001], [1.687, 0.8480000000000001]]"
"[[0.099, 0.98], [0.803, 0.27]]","[[0.687, 0.248], [0.37, 0.204]]","[[0.786, 1.228], [1.173, 0.474]]"
"[[0.656, 0.488], [0.029, 0.638]]","[[0.366, 0.857], [0.007, 0.787]]","[[1.022, 1.345], [0.036000000000000004, 1.425]]"
"[[0.272, 0.117], [0.289, 0.024]]","[[0.159, 0.595], [0.029, 0.17]]","[[0.43100000000000005, 0.712], [0.318, 0.194]]"
"[[0.004, 0.75], [0.721, 0.296]]","[[0.592, 0.776], [0.137, 0.942]]","[[0.596, 1.526], [0.858, 1.238]]"
"[[0.247, 0.218], [0.434, 0.432]]","[[0.085, 0.033], [0.387, 0.927]]","[[0.332, 0.251], [0.821, 1.359]]"
"[[0.585, 0.196], [0.65, 0.867]]","[[0.074, 0.995], [0.178, 0.791]]","[[0.6589999999999999, 1.191], [0.8280000000000001, 1.658]]"
"[[0.799, 0.995], [0.273, 0.03]]","[[0.17, 0.838], [0.469, 0.49]]","[[0.9690000000000001, 1.833], [0.742, 0.52]]"
"[[0.077, 0.137], [0.093, 0.987]]","[[0.602, 0.099], [0.267, 0.905]]","[[0.6789999999999999, 0.23600000000000002], [0.36, 1.892]]"
"[[0.28, 0.587], [0.944, 0.648]]","[[0.226, 0.433], [0.99, 0.844]]","[[0.506, 1.02], [1.934, 1.492]]"
"[[0.948, 0.532], [0.143, 0.137]]","[[0.065, 0.885], [0.889, 0.659]]","[[1.013, 1.417], [1.032, 0.796]]"
"[[0.542, 0.328], [0.507, 0.309]]","[[0.307, 0.144], [0.583, 0.49]]","[[0.849, 0.472], [1.0899999999999999, 0.7989999999999999]]"
"[[0.55, 0.275], [0.33, 0.004]]","[[0.205, 0.596], [0.371, 0.758]]","[[0.755, 0.871], [0.7010000000000001, 0.762]]"
"[[0.899, 0.937], [0.775, 0.129]]","[[0.745, 0.83], [0.45, 0.641]]","[[1.6440000000000001, 1.767], [1.225, 0.77]]"
"[[0.003, 0.375], [0.581, 0.184]]","[[0.135, 0.419], [0.727, 0.807]]","[[0.138, 0.794], [1.3079999999999998, 0.9910000000000001]]"
"[[0.591, 0.211], [0.828, 0.166]]","[[0.684, 0.45], [0.569, 0.304]]","[[1.275, 0.661], [1.3969999999999998, 0.47]]"
"[[0.489, 0.126], [0.588, 0.65]]","[[0.044, 0.852], [0.503, 0.825]]","[[0.533, 0.978], [1.091, 1.475]]"
"[[0.382, 0.701], [0.908, 0.185]]","[[0.788, 0.994], [0.301, 0.824]]","[[1.17, 1.6949999999999998], [1.209, 1.009]]"
"[[0.572, 0.916], [0.636, 0.59]]","[[0.682, 0.744], [0.219, 0.679]]","[[1.254, 1.6600000000000001], [0.855, 1.2690000000000001]]"
"[[0.731, 0.631], [0.784, 0.744]]","[[0.363, 0.748], [0.361, 0.486]]","[[1.0939999999999999, 1.379], [1.145, 1.23]]"
"[[0.577, 0.466], [0.962, 0.109]]","[[0.742, 0.405], [0.784, 0.33]]","[[1.319, 0.871], [1.746, 0.439]]"
"[[0.63, 0.817], [0.279, 0.815]]","[[0.815, 0.82], [0.299, 0.69]]","[[1.4449999999999998, 1.637], [0.5780000000000001, 1.505]]"
"[[0.183, 0.141], [0.875, 0.469]]","[[0.74, 0.462], [0.611, 0.282]]","[[0.923, 0.603], [1.486, 0.7509999999999999]]"
"[[0.165, 0.232], [0.487, 0.736]]","[[0.041, 0.557], [0.205, 0.159]]","[[0.20600000000000002, 0.789], [0.692, 0.895]]"
"[[0.266, 0.207], [0.504, 0.636]]","[[0.726, 0.059], [0.638, 0.419]]","[[0.992, 0.266], [1.142, 1.055]]"
"[[0.691, 0.959], [0.284, 0.257]]","[[0.264, 0.155], [0.309, 0.238]]","[[0.955, 1.1139999999999999], [0.593, 0.495]]"
"[[0.267, 0.081], [0.228, 0.624]]","[[0.285, 0.814], [0.473, 0.541]]","[[0.552, 0.8949999999999999], [0.701, 1.165]]"
"[[0.177, 0.077], [0.177, 0.286]]","[[0.207, 0.255], [0.535, 0.07]]","[[0.384, 0.332], [0.712, 0.356]]"
"[[0.434, 0.929], [0.548, 0.772]]","[[0.243, 0.305], [0.674, 0.636]]","[[0.677, 1.234], [1.222, 1.408]]"
"[[0.669, 0.212], [0.83, 0.78]]","[[0.933, 0.202], [0.051, 0.126]]","[[1.602, 0.41400000000000003], [0.881, 0.906]]"
"[[0.829, 0.847], [0.471, 0.789]]","[[0.254, 0.194], [0.197, 0.248]]","[[1.083, 1.041], [0.6679999999999999, 1.037]]"
"[[0.405, 0.798], [0.253, 0.038]]","[[0.327, 0.162], [0.539, 0.076]]","[[0.732, 0.9600000000000001], [0.792, 0.11399999999999999]]"
"[[0.915, 0.677], [0.165, 0.983]]","[[0.424, 0.796], [0.93, 0.598]]","[[1.339, 1.473], [1.095, 1.581]]"
"[[0.71, 0.152], [0.012, 0.993]]","[[0.647, 0.915], [0.235, 0.373]]","[[1.357, 1.067], [0.247, 1.366]]"
"[[0.458, 0.483], [0.644, 0.703]]","[[0.007, 0.192], [0.777, 0.862]]","[[0.465, 0.675], [1.421, 1.565]]"
"[[0.304, 0.522], [0.791, 0.533]]","[[0.333, 0.795], [0.786, 0.386]]","[[0.637, 1.3170000000000002], [1.577, 0.919]]"
"[[0.438, 0.504], [0.52, 0.792]]","[[0.875, 0.649], [0.125, 0.63]]","[[1.313, 1.153], [0.645, 1.4220000000000002]]"
"[[0.848, 0.696], [0.162, 0.077]]","[[0.173, 0.039], [0.59, 0.233]]","[[1.021, 0.735], [0.752, 0.31]]"
"[[0.551, 0.777], [0.286, 0.824]]","[[0.797, 0.741], [0.94, 0.903]]","[[1.348, 1.518], [1.226, 1.7269999999999999]]"
"[[0.425, 0.423], [0.381, 0.389]]","[[0.967, 0.832], [0.903, 0.274]]","[[1.392, 1.255], [1.284, 0.663]]"
"[[0.107, 0.596], [0.199, 0.274]]","[[0.107, 0.431], [1.0, 0.198]]","[[0.214, 1.027], [1.199, 0.47200000000000003]]"
"[[0.829, 0.473], [0.005, 0.856]]","[[0.528, 0.157], [0.033, 0.303]]","[[1.357, 0.63], [0.038, 1.159]]"
"[[0.64, 0.671], [0.449, 0.493]]","[[0.311, 0.042], [0.393, 0.172]]","[[0.9510000000000001, 0.7130000000000001], [0.8420000000000001, 0.665]]"
"[[0.571, 0.282], [0.441, 0.562]]","[[0.341, 0.95], [0.868, 0.218]]","[[0.9119999999999999, 1.232], [1.309, 0.78]]"
"[[0.22, 0.896], [0.694, 0.675]]","[[0.295, 0.221], [0.562, 0.268]]","[[0.515, 1.117], [1.256, 0.9430000000000001]]"
"[[0.87, 0.836], [0.928, 0.813]]","[[0.484, 0.29], [0.845, 0.608]]","[[1.354, 1.126], [1.7730000000000001, 1.4209999999999998]]"
"[[0.847, 0.034], [0.256, 0.882]]","[[0.682, 0.987], [0.053, 0.396]]","[[1.529, 1.021], [0.309, 1.278]]"
"[[0.256, 0.165], [0.763, 0.743]]","[[0.595, 0.622], [0.183, 0.284]]","[[0.851, 0.787], [0.946, 1.027]]"
"[[0.632, 0.934], [0.643, 0.684]]","[[0.162, 0.065], [0.86, 0.285]]","[[0.794, 0.9990000000000001], [1.5030000000000001, 0.9690000000000001]]"
"[[0.185, 0.916], [0.478, 0.527]]","[[0.338, 0.992], [0.351, 0.741]]","[[0.523, 1.908], [0.829, 1.268]]"
"[[0.431, 0.498], [0.756, 0.309]]","[[0.885, 0.255], [0.973, 0.306]]","[[1.316, 0.753], [1.729, 0.615]]"
"[[0.748, 0.745], [0.437, 0.087]]","[[0.618, 0.116], [0.041, 0.927]]","[[1.366, 0.861], [0.478, 1.014]]"
"[[0.645, 0.404], [0.745, 0.846]]","[[0.632, 0.655], [0.588, 0.174]]","[[1.2770000000000001, 1.0590000000000002], [1.333, 1.02]]"
"[[0.714, 0.531], [0.192, 0.533]]","[[0.532, 0.193], [0.293, 0.353]]","[[1.246, 0.724], [0.485, 0.886]]"
"[[0.676, 0.403], [0.147, 0.759]]","[[0.925, 0.431], [0.329, 0.85]]","[[1.601, 0.8340000000000001], [0.476, 1.609]]"
"[[0.889, 0.527], [0.819, 0.276]]","[[0.833, 0.648], [0.21, 0.418]]","[[1.722, 1.175], [1.029, 0.694]]"
"[[0.578, 0.787], [0.938, 0.791]]","[[0.554, 0.186], [0.676, 0.825]]","[[1.1320000000000001, 0.9730000000000001], [1.6139999999999999, 1.616]]"
"[[0.357, 0.867], [0.847, 0.123]]","[[0.15, 0.568], [0.198, 0.902]]","[[0.507, 1.435], [1.045, 1.025]]"
"[[0.669, 0.756], [0.005, 0.261]]","[[0.464, 0.982], [0.913, 0.119]]","[[1.133, 1.738], [0.918, 0.38]]"
"[[0.934, 0.312], [0.101, 0.149]]","[[0.711, 0.039], [0.389, 0.431]]","[[1.645, 0.351], [0.49, 0.58]]"
"[[0.093, 0.696], [0.332, 0.454]]","[[0.29, 0.906], [0.159, 0.953]]","[[0.383, 1.6019999999999999], [0.491, 1.407]]"
"[[0.017, 0.304], [0.152, 0.898]]","[[0.906, 0.161], [0.758, 0.239]]","[[0.923, 0.46499999999999997], [0.91, 1.137]]"
"[[0.324, 0.242], [0.172, 0.579]]","[[0.737, 0.646], [0.875, 0.645]]","[[1.061, 0.888], [1.047, 1.224]]"
"[[0.827, 0.451], [0.986, 0.107]]","[[0.079, 0.714], [0.42, 0.297]]","[[0.9059999999999999, 1.165], [1.406, 0.40399999999999997]]"
"[[0.574, 0.738], [0.941, 0.631]]","[[0.075, 0.39], [0.84, 0.767]]","[[0.6489999999999999, 1.1280000000000001], [1.781, 1.3980000000000001]]"
"[[0.807, 0.428], [0.626, 0.152]]","[[0.634, 0.801], [0.534, 0.768]]","[[1.441, 1.229], [1.1600000000000001, 0.92]]"
"[[0.362, 0.198], [0.484, 0.256]]","[[0.105, 0.006], [0.078, 0.989]]","[[0.46699999999999997, 0.20400000000000001], [0.5619999999999999, 1.245]]"
"[[0.653, 0.11], [0.919, 0.547]]","[[0.071, 0.157], [0.127, 0.722]]","[[0.724, 0.267], [1.046, 1.2690000000000001]]"
"[[0.91, 0.33], [0.751, 0.433]]","[[0.694, 0.822], [0.894, 0.668]]","[[1.604, 1.152], [1.645, 1.101]]"
"[[0.427, 0.22], [0.247, 0.909]]","[[0.905, 0.392], [0.209, 0.752]]","[[1.332, 0.612], [0.45599999999999996, 1.661]]"
"[[0.39, 0.456], [0.598, 0.659]]","[[0.545, 0.049], [0.775, 0.173]]","[[0.935, 0.505], [1.373, 0.8320000000000001]]"
"[[0.046, 0.365], [0.649, 0.309]]","[[0.546, 0.373], [0.534, 0.642]]","[[0.5920000000000001, 0.738], [1.183, 0.9510000000000001]]"
"[[0.448, 0.951], [0.342, 0.863]]","[[0.135, 0.07], [0.899, 0.52]]","[[0.583, 1.021], [1.241, 1.383]]"
"[[0.743, 0.938], [0.033, 0.722]]","[[0.844, 0.874], [0.015, 0.605]]","[[1.587, 1.8119999999999998], [0.048, 1.327]]"
"[[0.743, 0.622], [0.709, 0.896]]","[[0.35, 0.087], [0.081, 0.162]]","[[1.093, 0.709], [0.7899999999999999, 1.058]]"
"[[0.836, 0.848], [0.366, 0.834]]","[[0.586, 0.725], [0.284, 0.614]]","[[1.422, 1.573], [0.6499999999999999, 1.448]]"
"[[0.593, 0.244], [0.367, 0.875]]","[[0.585, 0.624], [0.82, 0.732]]","[[1.178, 0.868], [1.1869999999999998, 1.607]]"
"[[0.66, 0.094], [0.567, 0.339]]","[[0.594, 0.216], [0.196, 0.791]]","[[1.254, 0.31], [0.7629999999999999, 1.1300000000000001]]"
"[[0.685, 0.993], [0.953, 0.634]]","[[0.385, 0.388], [0.007, 0.098]]","[[1.07, 1.381], [0.96, 0.732]]"
"[[0.141, 0.656], [0.374, 0.155]]","[[0.627, 0.68], [0.478, 0.231]]","[[0.768, 1.336], [0.852, 0.386]]"
"[[0.625, 0.222], [0.332, 0.781]]","[[0.789, 0.52], [0.251, 0.338]]","[[1.4140000000000001, 0.742], [0.583, 1.119]]"
"[[0.51, 0.724], [0.417, 0.075]]","[[0.921, 0.126], [0.473, 0.323]]","[[1.431, 0.85], [0.8899999999999999, 0.398]]"
"[[0.336, 0.639], [0.929, 0.787]]","[[0.843, 0.382], [0.685, 0.87]]","[[1.179, 1.021], [1.614, 1.657]]"
"[[0.701, 0.107], [0.982, 0.731]]","[[0.119, 0.792], [0.688, 0.353]]","[[0.82, 0.899], [1.67, 1.084]]"
"[[0.646, 0.285], [0.051, 0.986]]","[[0.356, 0.376], [0.343, 0.907]]","[[1.002, 0.661], [0.394, 1.893]]"
"[[0.025, 0.355], [0.966, 0.653]]","[[0.44, 0.661], [0.005, 0.045]]","[[0.465, 1.016], [0.971, 0.6980000000000001]]"
"[[0.206, 0.648], [0.868, 0.115]]","[[0.494, 0.276], [0.045, 0.849]]","[[0.7, 0.924], [0.913, 0.964]]"
"[[0.011, 0.807], [0.626, 0.582]]","[[0.579, 0.629], [0.86, 0.371]]","[[0.59, 1.436], [1.486, 0.953]]"
"[[0.469, 0.227], [0.631, 0.072]]","[[0.398, 0.053], [0.287, 0.721]]","[[0.867, 0.28], [0.9179999999999999, 0.7929999999999999]]"
"[[0.467, 0.628], [0.823, 0.152]]","[[0.375, 0.07], [0.815, 0.332]]","[[0.8420000000000001, 0.698], [1.638, 0.484]]"
"[[0.787, 0.166], [0.636, 0.356]]","[[0.942, 0.59], [0.237, 0.837]]","[[1.729, 0.756], [0.873, 1.193]]"
"[[0.802, 0.075], [0.427, 0.189]]","[[0.723, 0.474], [0.551, 0.598]]","[[1.525, 0.5489999999999999], [0.978, 0.7869999999999999]]"
"[[0.515, 0.749], [0.71, 0.529]]","[[0.589, 0.823], [0.859, 0.733]]","[[1.104, 1.572], [1.569, 1.262]]"
"[[0.64, 0.332], [0.027, 0.047]]","[[0.666, 0.987], [0.732, 0.145]]","[[1.306, 1.319], [0.759, 0.192]]"
