td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
"[6, 9, 0, 13, -12, 0, -14]","[11, -5, 8, -4, -2, 4, -13]","[10, 13, 4, 17, -8, 4, -10]","[15, -1, 12, 0, 2, 8, -9]","[6, 9, 0, 13, -12, -14]","[11, -5, 8, -4, -2, -13]","[6, 9, 0, 13, -12, 0, -14, 4]","[11, -5, 8, -4, -2, 4, -13, 4]","[6, 9, 0, 13, -12, 0, -14, 0.1666666667, 0.1111111111, 'ZeroDivisionError', 0.0769230769, -0.0833333333, 'ZeroDivisionError', -0.0714285714]","[11, -5, 8, -4, -2, 4, -13, 0.0909090909, -0.2, 0.125, -0.25, -0.5, 0.25, -0.0769230769]","[24, 36, 0, 52, -48, 0, -56]","[44, -20, 32, -16, -8, 16, -52]","[0, 6, 13, 0, -14, 9, -12]","[-5, -2, -4, 11, 8, -13, 4]",5.0454403984,7.0,4.0859649123,5.0454403984,error,5.0454403984,4.0454403984,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-9, -14, -16, -8, 3, -10, -1, -5]","[-3, -16, -12, -14, 8, 5, 9, -9]","[-5, -10, -12, -4, 7, -6, 3, -1]","[1, -12, -8, -10, 12, 9, 13, -5]","[-14, -16, -8, 3, -10, -1, -5]","[-16, -12, -14, 8, 5, 9, -9]","[-9, -14, -16, -8, 3, -10, -1, -5, 4]","[-3, -16, -12, -14, 8, 5, 9, -9, 4]","[-9, -14, -16, -8, 3, -10, -1, -5, -0.1111111111, -0.0714285714, -0.0625, -0.125, 0.33333333330000003, -0.1, -1.0, -0.2]","[-3, -16, -12, -14, 8, 5, 9, -9, -0.33333333330000003, -0.0625, -0.0833333333, -0.0714285714, 0.125, 0.2, 0.1111111111, -0.1111111111]","[-36, -56, -64, -32, 12, -40, -4, -20]","[-12, -64, -48, -56, 32, 20, 36, -36]","[-9, -1, -10, -8, -5, -14, 3, -16]","[5, -9, -14, -16, -3, -12, 8, 9]",3.7225108225,4.0814685315,4.2743050809,3.7225108225,7.445021645,3.7225108225,3.2225108225,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-7, 2, 6, 6, 8, 3, 3, 10, -11, 3, 10, 7, 4, 1]","[3, -5, -6, -3, -11, -5, -5, -11, 10, 8, 10, 9, 10, -12]","[-3, 6, 10, 10, 12, 7, 7, 14, -7, 7, 14, 11, 8, 5]","[7, -1, -2, 1, -7, -1, -1, -7, 14, 12, 14, 13, 14, -8]","[-7, 2, 6, 6, 8, 3, 3, 10, -11, 3, 10, 7, 1]","[3, -5, -6, -3, -11, -5, -5, -11, 10, 8, 10, 9, -12]","[-7, 2, 6, 6, 8, 3, 3, 10, -11, 3, 10, 7, 4, 4, 1]","[3, -5, -6, -3, -11, -5, -5, -11, 10, 8, 10, 9, 4, 10, -12]","[-7, 2, 6, 6, 8, 3, 3, 10, -11, 3, 10, 7, 4, 1, -0.1428571429, 0.5, 0.1666666667, 0.1666666667, 0.125, 0.33333333330000003, 0.33333333330000003, 0.1, -0.0909090909, 0.33333333330000003, 0.1, 0.1428571429, 0.25, 1.0]","[3, -5, -6, -3, -11, -5, -5, -11, 10, 8, 10, 9, 10, -12, 0.33333333330000003, -0.2, -0.1666666667, -0.33333333330000003, -0.0909090909, -0.2, -0.2, -0.0909090909, 0.1, 0.125, 0.1, 0.1111111111, 0.1, -0.0833333333]","[-28, 8, 24, 24, 32, 12, 12, 40, -44, 12, 40, 28, 16, 4]","[12, -20, -24, -12, -44, -20, -20, -44, 40, 32, 40, 36, 40, -48]","[2, 10, 6, 7, 6, 3, 10, -7, 4, 8, 1, 3, -11, 3]","[8, 3, -6, -5, 10, -5, -12, 9, -5, 10, 10, -11, -3, -11]",11.0081168831,10.8891830392,10.437400319,11.0081168831,22.0162337662,11.0081168831,10.5795454545,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-2, 15, 2, -5, 8, 12]","[10, 13, -6, 4, -1, -6]","[2, 19, 6, -1, 12, 16]","[14, 17, -2, 8, 3, -2]","[-2, 15, 2, -5, 12]","[10, 13, -6, 4, -6]","[-2, 15, 2, -5, 4, 8, 12]","[10, 13, -6, 4, 4, -1, -6]","[-2, 15, 2, -5, 8, 12, -0.5, 0.0666666667, 0.5, -0.2, 0.125, 0.0833333333]","[10, 13, -6, 4, -1, -6, 0.1, 0.0769230769, -0.1666666667, 0.25, -1.0, -0.1666666667]","[-8, 60, 8, -20, 32, 48]","[40, 52, -24, 16, -4, -24]","[-5, 2, 15, -2, 12, 8]","[-1, -6, -6, 4, 13, 10]",5.0714285714,3.8177777778,4.4055555556,5.0714285714,10.1428571429,5.0714285714,4.0714285714,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[4, -12]","[-9, 8]","[8, -8]","[-5, 12]",[4],[-9],"[4, 4, -12]","[-9, 4, 8]","[4, -12, 0.25, -0.0833333333]","[-9, 8, -0.1111111111, 0.125]","[16, -48]","[-36, 32]","[4, -12]","[8, -9]",2.0,0.4761904762,2.0,2.0,4.0,2.0,1.0,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-1, 5, 4, 15, -15, 9, 9]","[-2, 11, -5, -15, 17, 2, 9]","[3, 9, 8, 19, -11, 13, 13]","[2, 15, -1, -11, 21, 6, 13]","[5, 4, 15, -15, 9, 9]","[11, -5, -15, 17, 2, 9]","[-1, 5, 4, 15, -15, 4, 9, 9]","[-2, 11, -5, -15, 17, 4, 2, 9]","[-1, 5, 4, 15, -15, 9, 9, -1.0, 0.2, 0.25, 0.0666666667, -0.0666666667, 0.1111111111, 0.1111111111]","[-2, 11, -5, -15, 17, 2, 9, -0.5, 0.0909090909, -0.2, -0.0666666667, 0.058823529400000005, 0.5, 0.1111111111]","[-4, 20, 16, 60, -60, 36, 36]","[-8, 44, -20, -60, 68, 8, 36]","[5, 4, 9, 15, 9, -15, -1]","[-2, 11, -5, -15, 17, 9, 2]",4.3446969697,5.7743589744,3.8184210525999998,4.3446969697,8.6893939394,4.3446969697,4.0113636364,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
[4],[12],[8],[16],[],[],"[4, 4]","[4, 12]","[4, 0.25]","[12, 0.0833333333]",[16],[48],[4],[12],0.5,0.5,0.33333333330000003,0.5,1.0,0.5,0.0,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-12, 3, 2, -11, 2, -1, -3, 7, 7, 6, -12]","[-8, -10, -5, 6, 0, 6, 5, 5, -6, -6, -6]","[-8, 7, 6, -7, 6, 3, 1, 11, 11, 10, -8]","[-4, -6, -1, 10, 4, 10, 9, 9, -2, -2, -2]","[-12, 3, 2, -11, 2, -1, -3, 7, 7, 6]","[-8, -10, -5, 6, 0, 6, 5, 5, -6, -6]","[4, -12, 3, 2, -11, 2, -1, -3, 7, 7, 6, -12]","[4, -8, -10, -5, 6, 0, 6, 5, 5, -6, -6, -6]","[-12, 3, 2, -11, 2, -1, -3, 7, 7, 6, -12, -0.0833333333, 0.33333333330000003, 0.5, -0.0909090909, 0.5, -1.0, -0.33333333330000003, 0.1428571429, 0.1428571429, 0.1666666667, -0.0833333333]","[-8, -10, -5, 6, 0, 6, 5, 5, -6, -6, -6, -0.125, -0.1, -0.2, 0.1666666667, 'ZeroDivisionError', 0.1666666667, 0.2, 0.2, -0.1666666667, -0.1666666667, -0.1666666667]","[-48, 12, 8, -44, 8, -4, -12, 28, 28, 24, -48]","[-32, -40, -20, 24, 0, 24, 20, 20, -24, -24, -24]","[-11, 3, 2, -1, 2, 7, -12, -3, 7, 6, -12]","[-5, -6, 0, -8, 6, -10, -6, 5, 6, -6, 5]",8.7,8.063034188,7.5717948718,8.7,error,8.7,8.3666666667,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-6, -1, -8, 6, 2]","[1, -1, -6, -2, -3]","[-2, 3, -4, 10, 6]","[5, 3, -2, 2, 1]","[-6, -8, 6, 2]","[1, -6, -2, -3]","[-6, -1, 4, -8, 6, 2]","[1, -1, 4, -6, -2, -3]","[-6, -1, -8, 6, 2, -0.1666666667, -1.0, -0.125, 0.1666666667, 0.5]","[1, -1, -6, -2, -3, 1.0, -1.0, -0.1666666667, -0.5, -0.33333333330000003]","[-24, -4, -32, 24, 8]","[4, -4, -24, -8, -12]","[6, 2, -6, -1, -8]","[-3, -6, -2, 1, -1]",3.1428571429,4.2777777778,2.7142857143,3.1428571429,6.2857142857,3.1428571429,3.1428571429,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-12, -12, 6, -1, 9, -1]","[10, -2, 1, -8, -10, 7]","[-8, -8, 10, 3, 13, 3]","[14, 2, 5, -4, -6, 11]","[-12, -12, 6, -1, -1]","[10, -2, 1, -8, 7]","[4, -12, -12, 6, -1, 9, -1]","[4, 10, -2, 1, -8, -10, 7]","[-12, -12, 6, -1, 9, -1, -0.0833333333, -0.0833333333, 0.1666666667, -1.0, 0.1111111111, -1.0]","[10, -2, 1, -8, -10, 7, 0.1, -0.5, 1.0, -0.125, -0.1, 0.1428571429]","[-48, -48, 24, -4, 36, -4]","[40, -8, 4, -32, -40, 28]","[-1, 9, -1, -12, -12, 6]","[7, 10, -2, -10, -8, 1]",5.2063492063,2.3911597175,4.9047619048,5.2063492063,10.4126984127,5.2063492063,4.2063492063,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[4, -8, -6, -6, 0]","[-7, -1, -1, -6, 3]","[8, -4, -2, -2, 4]","[-3, 3, 3, -2, 7]","[4, -8, -6, 0]","[-7, -1, -6, 3]","[4, -8, -6, -6, 4, 0]","[-7, -1, -1, -6, 4, 3]","[4, -8, -6, -6, 0, 0.25, -0.125, -0.1666666667, -0.1666666667, 'ZeroDivisionError']","[-7, -1, -1, -6, 3, -0.1428571429, -1.0, -1.0, -0.1666666667, 0.33333333330000003]","[16, -32, -24, -24, 0]","[-28, -4, -4, -24, 12]","[-8, 0, -6, -6, 4]","[3, -7, -1, -6, -1]",3.4920634920999998,3.7142857143,3.2727272727,3.4920634920999998,error,3.4920634920999998,2.7777777778,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[0, 5, -8, 6, 1, 9, -5, 1, 0, 3, -3, -8, 9]","[-7, 3, -2, 2, -7, -4, -5, 7, -9, 10, -8, 7, -4]","[4, 9, -4, 10, 5, 13, -1, 5, 4, 7, 1, -4, 13]","[-3, 7, 2, 6, -3, 0, -1, 11, -5, 14, -4, 11, 0]","[0, 5, -8, 6, 9, -5, 1, 0, 3, -3, -8, 9]","[-7, 3, -2, 2, -4, -5, 7, -9, 10, -8, 7, -4]","[0, 4, 5, -8, 6, 1, 9, -5, 1, 0, 3, -3, -8, 9]","[-7, 4, 3, -2, 2, -7, -4, -5, 7, -9, 10, -8, 7, -4]","[0, 5, -8, 6, 1, 9, -5, 1, 0, 3, -3, -8, 9, 'ZeroDivisionError', 0.2, -0.125, 0.1666666667, 1.0, 0.1111111111, -0.2, 1.0, 'ZeroDivisionError', 0.33333333330000003, -0.33333333330000003, -0.125, 0.1111111111]","[-7, 3, -2, 2, -7, -4, -5, 7, -9, 10, -8, 7, -4, -0.1428571429, 0.33333333330000003, -0.5, 0.5, -0.1428571429, -0.25, -0.2, 0.1428571429, -0.1111111111, 0.1, -0.125, 0.1428571429, -0.25]","[0, 20, -32, 24, 4, 36, -20, 4, 0, 12, -12, -32, 36]","[-28, 12, -8, 8, -28, -16, -20, 28, -36, 40, -32, 28, -16]","[0, -3, 0, 1, 9, 3, 5, -5, -8, 9, -8, 1, 6]","[10, -4, -4, -8, 7, 3, 2, -9, 7, -2, -7, -7, -5]",9.093006993,8.0488095238,9.0833333333,9.093006993,error,9.093006993,8.093006993,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-6, -11, 4, 2, 0, -9, -5, -10, -9, 3, 4, 8, -9]","[2, 8, -11, -4, -8, -11, -1, 3, -2, 2, -3, -9, -3]","[-2, -7, 8, 6, 4, -5, -1, -6, -5, 7, 8, 12, -5]","[6, 12, -7, 0, -4, -7, 3, 7, 2, 6, 1, -5, 1]","[-6, -11, 4, 2, 0, -9, -5, -10, -9, 4, 8, -9]","[2, 8, -11, -4, -8, -11, -1, 3, -2, -3, -9, -3]","[-6, -11, 4, 4, 2, 0, -9, -5, -10, -9, 3, 4, 8, -9]","[2, 8, -11, 4, -4, -8, -11, -1, 3, -2, 2, -3, -9, -3]","[-6, -11, 4, 2, 0, -9, -5, -10, -9, 3, 4, 8, -9, -0.1666666667, -0.0909090909, 0.25, 0.5, 'ZeroDivisionError', -0.1111111111, -0.2, -0.1, -0.1111111111, 0.33333333330000003, 0.25, 0.125, -0.1111111111]","[2, 8, -11, -4, -8, -11, -1, 3, -2, 2, -3, -9, -3, 0.5, 0.125, -0.0909090909, -0.25, -0.125, -0.0909090909, -1.0, 0.33333333330000003, -0.5, 0.5, -0.33333333330000003, -0.1111111111, -0.33333333330000003]","[-24, -44, 16, 8, 0, -36, -20, -40, -36, 12, 16, 32, -36]","[8, 32, -44, -16, -32, -44, -4, 12, -8, 8, -12, -36, -12]","[4, 4, -11, 2, -9, 0, -9, -6, -5, 8, -10, 3, -9]","[2, -2, -4, -9, -11, -11, -1, 2, 8, -3, -3, 3, -8]",10.103030303,8.2972850679,11.0213675214,10.103030303,error,10.103030303,9.903030303,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[-2, 5, 2, -13, 1, -9, -14, -6, -9, -9, 7, -14, -4]","[7, -17, 0, -5, -14, -10, -3, -9, -16, 1, -5, -1, -6]","[2, 9, 6, -9, 5, -5, -10, -2, -5, -5, 11, -10, 0]","[11, -13, 4, -1, -10, -6, 1, -5, -12, 5, -1, 3, -2]","[5, 2, -13, 1, -9, -14, -6, -9, -9, 7, -14, -4]","[-17, 0, -5, -14, -10, -3, -9, -16, 1, -5, -1, -6]","[4, -2, 5, 2, -13, 1, -9, -14, -6, -9, -9, 7, -14, -4]","[4, 7, -17, 0, -5, -14, -10, -3, -9, -16, 1, -5, -1, -6]","[-2, 5, 2, -13, 1, -9, -14, -6, -9, -9, 7, -14, -4, -0.5, 0.2, 0.5, -0.0769230769, 1.0, -0.1111111111, -0.0714285714, -0.1666666667, -0.1111111111, -0.1111111111, 0.1428571429, -0.0714285714, -0.25]","[7, -17, 0, -5, -14, -10, -3, -9, -16, 1, -5, -1, -6, 0.1428571429, -0.058823529400000005, 'ZeroDivisionError', -0.2, -0.0714285714, -0.1, -0.33333333330000003, -0.1111111111, -0.0625, 1.0, -0.2, -1.0, -0.1666666667]","[-8, 20, 8, -52, 4, -36, -56, -24, -36, -36, 28, -56, -16]","[28, -68, 0, -20, -56, -40, -12, -36, -64, 4, -20, -4, -24]","[-14, 7, 1, -9, -2, -9, -9, -14, 5, -6, -13, 2, -4]","[-10, -5, 0, 7, -9, -3, -17, -6, 1, -16, -5, -14, -1]",8.6908015136,8.1763791764,9.6235529177,8.6908015136,error,8.6908015136,7.6908015136,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[-13, 2, -1, -8, -1, -4, -8, 7, -11]","[5, 6, 9, 6, -5, -6, 1, 10, 7]","[-9, 6, 3, -4, 3, 0, -4, 11, -7]","[9, 10, 13, 10, -1, -2, 5, 14, 11]","[-13, 2, -1, -8, -1, -8, 7, -11]","[5, 6, 9, 6, -5, 1, 10, 7]","[-13, 4, 2, -1, -8, -1, -4, -8, 7, -11]","[5, 4, 6, 9, 6, -5, -6, 1, 10, 7]","[-13, 2, -1, -8, -1, -4, -8, 7, -11, -0.0769230769, 0.5, -1.0, -0.125, -1.0, -0.25, -0.125, 0.1428571429, -0.0909090909]","[5, 6, 9, 6, -5, -6, 1, 10, 7, 0.2, 0.1666666667, 0.1111111111, 0.1666666667, -0.2, -0.1666666667, 1.0, 0.1, 0.1428571429]","[-52, 8, -4, -32, -4, -16, -32, 28, -44]","[20, 24, 36, 24, -20, -24, 4, 40, 28]","[-11, -8, -4, -13, -1, -8, -1, 2, 7]","[10, -6, 6, 5, 9, 7, 6, 1, -5]",6.5431372548999995,7.4761904762,6.995,6.5431372548999995,13.0862745098,6.5431372548999995,6.3431372549,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[10, -3, -4, 6]","[-4, -11, -4, -16]","[14, 1, 0, 10]","[0, -7, 0, -12]","[10, -3, 6]","[-4, -11, -16]","[10, 4, -3, -4, 6]","[-4, 4, -11, -4, -16]","[10, -3, -4, 6, 0.1, -0.33333333330000003, -0.25, 0.1666666667]","[-4, -11, -4, -16, -0.25, -0.0909090909, -0.25, -0.0625]","[40, -12, -16, 24]","[-16, -44, -16, -64]","[6, -3, -4, 10]","[-4, -11, -4, -16]",2.5714285714000003,2.5714285714000003,,2.5714285714000003,5.1428571429,2.5714285714000003,2.5714285714000003,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[3, -8, -9, -10, 11, -7, 16, -11, 14, 11]","[15, -2, -14, 6, 16, 13, 13, 3, -5, 6]","[7, -4, -5, -6, 15, -3, 20, -7, 18, 15]","[19, 2, -10, 10, 20, 17, 17, 7, -1, 10]","[3, -8, -9, -10, 11, -7, 16, -11, 14]","[15, -2, -14, 6, 16, 13, 13, 3, -5]","[3, -8, -9, -10, 4, 11, -7, 16, -11, 14, 11]","[15, -2, -14, 6, 4, 16, 13, 13, 3, -5, 6]","[3, -8, -9, -10, 11, -7, 16, -11, 14, 11, 0.33333333330000003, -0.125, -0.1111111111, -0.1, 0.0909090909, -0.1428571429, 0.0625, -0.0909090909, 0.0714285714, 0.0909090909]","[15, -2, -14, 6, 16, 13, 13, 3, -5, 6, 0.0666666667, -0.5, -0.0714285714, 0.1666666667, 0.0625, 0.0769230769, 0.0769230769, 0.33333333330000003, -0.2, 0.1666666667]","[12, -32, -36, -40, 44, -28, 64, -44, 56, 44]","[60, -8, -56, 24, 64, 52, 52, 12, -20, 24]","[-8, 11, 14, 16, 11, -9, -7, -11, 3, -10]","[-2, 6, 3, 16, -5, 15, 13, 13, 6, -14]",6.0668090791000004,6.0411764706,6.2188100188,6.0668090791000004,12.133618158200001,6.0668090791000004,5.7726914321,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-7, 2, 14, 1, -14, -4, 12, 7]","[5, 13, 18, -13, -14, 6, -4, -9]","[-3, 6, 18, 5, -10, 0, 16, 11]","[9, 17, 22, -9, -10, 10, 0, -5]","[-7, 2, 14, 1, -14, -4, 12]","[5, 13, 18, -13, -14, 6, -4]","[-7, 4, 2, 14, 1, -14, -4, 12, 7]","[5, 4, 13, 18, -13, -14, 6, -4, -9]","[-7, 2, 14, 1, -14, -4, 12, 7, -0.1428571429, 0.5, 0.0714285714, 1.0, -0.0714285714, -0.25, 0.0833333333, 0.1428571429]","[5, 13, 18, -13, -14, 6, -4, -9, 0.2, 0.0769230769, 0.0555555556, -0.0769230769, -0.0714285714, 0.1666666667, -0.25, -0.1111111111]","[-28, 8, 56, 4, -56, -16, 48, 28]","[20, 52, 72, -52, -56, 24, -16, -36]","[2, -14, 12, -7, 1, 7, 14, -4]","[-13, 18, 6, -14, 5, -9, -4, 13]",5.8583333333,6.3333333333,5.5782608696,5.8583333333,11.7166666667,5.8583333333,4.8583333333,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-15, 4, -3, 11, -2, 13, 13, 1]","[-9, -7, 1, -11, -11, -6, 13, 11]","[-11, 8, 1, 15, 2, 17, 17, 5]","[-5, -3, 5, -7, -7, -2, 17, 15]","[-15, 4, 11, -2, 13, 13, 1]","[-9, -7, -11, -11, -6, 13, 11]","[-15, 4, -3, 11, -2, 13, 13, 4, 1]","[-9, -7, 1, -11, -11, -6, 13, 4, 11]","[-15, 4, -3, 11, -2, 13, 13, 1, -0.0666666667, 0.25, -0.33333333330000003, 0.0909090909, -0.5, 0.0769230769, 0.0769230769, 1.0]","[-9, -7, 1, -11, -11, -6, 13, 11, -0.1111111111, -0.1428571429, 1.0, -0.0909090909, -0.0909090909, -0.1666666667, 0.0769230769, 0.0909090909]","[-60, 16, -12, 44, -8, 52, 52, 4]","[-36, -28, 4, -44, -44, -24, 52, 44]","[-15, 13, 4, -3, 11, 1, 13, -2]","[1, -7, 11, 13, -9, -6, -11, -11]",5.7756410256,7.158974359,5.5416666667,5.7756410256,11.5512820513,5.7756410256,4.7756410256,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[7, -2, 11, 12, -5, -1, 12]","[15, -5, -3, 14, 3, -3, 15]","[11, 2, 15, 16, -1, 3, 16]","[19, -1, 1, 18, 7, 1, 19]","[7, -2, 11, 12, -1, 12]","[15, -5, -3, 14, -3, 15]","[4, 7, -2, 11, 12, -5, -1, 12]","[4, 15, -5, -3, 14, 3, -3, 15]","[7, -2, 11, 12, -5, -1, 12, 0.1428571429, -0.5, 0.0909090909, 0.0833333333, -0.2, -1.0, 0.0833333333]","[15, -5, -3, 14, 3, -3, 15, 0.0666666667, -0.2, -0.33333333330000003, 0.0714285714, 0.33333333330000003, -0.33333333330000003, 0.0666666667]","[28, -8, 44, 48, -20, -4, 48]","[60, -20, -12, 56, 12, -12, 60]","[-1, 7, 11, 12, 12, -5, -2]","[3, -3, 15, -3, 15, 14, -5]",3.4802419802,4.6935286935,3.7862044818,3.4802419802,6.9604839605,3.4802419802,2.4802419802,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-5, -6, -10, -6, -10, -6, 3, 6, -2, -11, -4, 3, 2]","[-11, -4, -7, 6, -7, 0, -5, -8, 1, -1, 6, -8, -5]","[-1, -2, -6, -2, -6, -2, 7, 10, 2, -7, 0, 7, 6]","[-7, 0, -3, 10, -3, 4, -1, -4, 5, 3, 10, -4, -1]","[-5, -6, -6, -10, -6, 3, 6, -2, -11, -4, 3, 2]","[-11, -4, 6, -7, 0, -5, -8, 1, -1, 6, -8, -5]","[-5, -6, -10, -6, -10, -6, 3, 6, -2, 4, -11, -4, 3, 2]","[-11, -4, -7, 6, -7, 0, -5, -8, 1, 4, -1, 6, -8, -5]","[-5, -6, -10, -6, -10, -6, 3, 6, -2, -11, -4, 3, 2, -0.2, -0.1666666667, -0.1, -0.1666666667, -0.1, -0.1666666667, 0.33333333330000003, 0.1666666667, -0.5, -0.0909090909, -0.25, 0.33333333330000003, 0.5]","[-11, -4, -7, 6, -7, 0, -5, -8, 1, -1, 6, -8, -5, -0.0909090909, -0.25, -0.1428571429, 0.1666666667, -0.1428571429, 'ZeroDivisionError', -0.2, -0.125, 1.0, -1.0, 0.1666666667, -0.125, -0.2]","[-20, -24, -40, -24, -40, -24, 12, 24, -8, -44, -16, 12, 8]","[-44, -16, -28, 24, -28, 0, -20, -32, 4, -4, 24, -32, -20]","[2, 3, -6, -11, 3, -6, 6, -2, -10, -10, -4, -5, -6]","[-7, 0, -5, 6, -11, 6, -4, 1, -8, -1, -8, -5, -7]",9.7612745098,8.4304584305,10.8452380952,9.7612745098,error,9.7612745098,9.5848039216,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[17, 15, -1, -6, -16]","[-6, 14, -15, 9, -3]","[21, 19, 3, -2, -12]","[-2, 18, -11, 13, 1]","[17, 15, -1, -16]","[-6, 14, -15, -3]","[17, 15, -1, -6, -16, 4]","[-6, 14, -15, 9, -3, 4]","[17, 15, -1, -6, -16, 0.058823529400000005, 0.0666666667, -1.0, -0.1666666667, -0.0625]","[-6, 14, -15, 9, -3, -0.1666666667, 0.0714285714, -0.0666666667, 0.1111111111, -0.33333333330000003]","[68, 60, -4, -24, -64]","[-24, 56, -60, 36, -12]","[-16, 15, 17, -6, -1]","[9, -6, 14, -3, -15]",3.5936932849,3.3051075269,4.027027027,3.5936932849,7.1873865699,3.5936932849,2.5936932849,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-4, -2, -1, -14, 1, 5, 7, -4]","[7, -11, -11, 0, -17, -14, -6, 4]","[0, 2, 3, -10, 5, 9, 11, 0]","[11, -7, -7, 4, -13, -10, -2, 8]","[-4, -2, -1, 1, 5, 7, -4]","[7, -11, -11, -17, -14, -6, 4]","[-4, -2, -1, -14, 1, 5, 4, 7, -4]","[7, -11, -11, 0, -17, -14, 4, -6, 4]","[-4, -2, -1, -14, 1, 5, 7, -4, -0.25, -0.5, -1.0, -0.0714285714, 1.0, 0.2, 0.1428571429, -0.25]","[7, -11, -11, 0, -17, -14, -6, 4, 0.1428571429, -0.0909090909, -0.0909090909, 'ZeroDivisionError', -0.058823529400000005, -0.0714285714, -0.1666666667, 0.25]","[-16, -8, -4, -56, 4, 20, 28, -16]","[28, -44, -44, 0, -68, -56, -24, 16]","[5, 7, -4, -1, -14, 1, -2, -4]","[4, -17, -11, -14, -6, 0, -11, 7]",7.5256410256,5.5367521368,8.0,7.5256410256,error,7.5256410256,6.5256410256,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[-13, 14, -13, -13, -4, -13]","[-6, 14, 10, 8, -13, 9]","[-9, 18, -9, -9, 0, -9]","[-2, 18, 14, 12, -9, 13]","[-13, 14, -13, -4, -13]","[-6, 14, 8, -13, 9]","[-13, 14, -13, -13, -4, -13, 4]","[-6, 14, 10, 8, -13, 9, 4]","[-13, 14, -13, -13, -4, -13, -0.0769230769, 0.0714285714, -0.0769230769, -0.0769230769, -0.25, -0.0769230769]","[-6, 14, 10, 8, -13, 9, -0.1666666667, 0.0714285714, 0.1, 0.125, -0.0769230769, 0.1111111111]","[-52, 56, -52, -52, -16, -52]","[-24, 56, 40, 32, -52, 36]","[-13, -13, 14, -4, -13, -13]","[9, 8, 10, 14, -13, -6]",3.8978328173000003,3.5350877193,4.6363636364000005,3.8978328173000003,7.7956656347,3.8978328173000003,2.8978328173000003,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
